,address,baths,beds,id,lat,lng,photoUrl,photoUrlForHdDpiDisplay,price,satellitePhotoUrl,shortPrice,sqft,streetViewPhotoUrl,url
149,235 E 22nd St #11T,2ba,3bd,5047140990,40.737957,-73.98275,/pictures/thumbs_3/zillowstatic/ISm2sp3cpqyb831000000000.jpg,/pictures/thumbs_4/zillowstatic/ISm2sp3cpqyb831000000000.jpg,"$3,100,000",,$3.1m,,,/p/ny/new-york/235-e-22nd-st-11t-new-york-ny-10010--2332141922
150,252 W 85th St #4-D,3ba,3bd,3099336770,40.787758,-73.97789,/pictures/thumbs_3/zillowstatic/IS6qfjfa1pgjkx1000000000.jpg,/pictures/thumbs_4/zillowstatic/IS6qfjfa1pgjkx1000000000.jpg,"$1,745,000",,$1.75m,"1,250 sqft",,/p/ny/new-york/252-w-85th-st-4-d-new-york-ny-10024--2179502822
151,285 W 110th St #2B,3ba,4bd,3253953493,40.800407,-73.95723,/pictures/thumbs_3/zillowstatic/ISusdu4qnx2djj0000000000.jpg,/pictures/thumbs_4/zillowstatic/ISusdu4qnx2djj0000000000.jpg,"$4,335,750",,$4.34m,"1,797 sqft",,/p/ny/new-york/285-w-110th-st-2b-new-york-ny-10026--2290383512
152,285 W 110th St #8B,3ba,3bd,5047161754,40.800407,-73.95723,/pictures/thumbs_3/zillowstatic/ISmmbimjjpufjj0000000000.jpg,/pictures/thumbs_4/zillowstatic/ISmmbimjjpufjj0000000000.jpg,"$4,636,500",,$4.64m,,,/p/ny/new-york/285-w-110th-st-8b-new-york-ny-10026--2332718348
153,730 Saint Nicholas Ave,6ba,8bd,3135027077,40.82491,-73.94371,/pictures/thumbs_3/zillowstatic/ISifjgj51a20y90000000000.jpg,/pictures/thumbs_4/zillowstatic/ISifjgj51a20y90000000000.jpg,"$5,250,000",,$5.25m,"6,840 sqft",,/p/ny/new-york/730-saint-nicholas-ave-new-york-ny-10031--39188
154,252 W 30th St #15,2ba,3bd,5047151271,40.749256,-73.99489,/pictures/thumbs_3/zillowstatic/ISyf6bk1t27jp90000000000.jpg,/pictures/thumbs_4/zillowstatic/ISyf6bk1t27jp90000000000.jpg,"$4,495,000",,$4.5m,"2,100 sqft",,/p/ny/new-york/252-w-30th-st-15-new-york-ny-10001--2088806896
155,210 E 15th St #10HJK,3ba,3bd,5047039349,40.73346,-73.98605,/pictures/thumbs_3/zillowstatic/ISecym2d9qchbv0000000000.jpg,/pictures/thumbs_4/zillowstatic/ISecym2d9qchbv0000000000.jpg,"$2,695,000",,$2.7m,,,/p/ny/new-york/210-e-15th-st-10hjk-new-york-ny-10003--2326199927
156,322 W 72nd St #11B,3ba,3bd,5047039782,40.77997,-73.985596,/pictures/thumbs_3/zillowstatic/IS2rdr33zu9lzy0000000000.jpg,/pictures/thumbs_4/zillowstatic/IS2rdr33zu9lzy0000000000.jpg,"$2,860,000",,$2.86m,,,/p/ny/new-york/322-w-72nd-st-11b-new-york-ny-10023--2239287846
157,350 W 71st St #3B,3ba,3bd,5047068653,40.779655,-73.98687,/pictures/thumbs_3/zillowstatic/IS2fciuksu8z0p1000000000.jpg,/pictures/thumbs_4/zillowstatic/IS2fciuksu8z0p1000000000.jpg,"$3,095,000",,$3.1m,"1,710 sqft",,/p/ny/new-york/350-w-71st-st-3b-new-york-ny-10023--2360196557
158,1220 Park Ave #15B,5ba,5bd,3046948305,40.786266,-73.9534,/pictures/thumbs_3/zillowstatic/IS2blm0akdzxbv0000000000.jpg,/pictures/thumbs_4/zillowstatic/IS2blm0akdzxbv0000000000.jpg,"$12,000,000",,$12m,,,/p/ny/new-york/1220-park-ave-15b-new-york-ny-10128--2177766420
159,76 11th Ave #14C,5ba,4bd,5047032241,40.74583,-74.00785,/pictures/thumbs_3/zillowstatic/IS2v47xaks2z090000000000.jpg,/pictures/thumbs_4/zillowstatic/IS2v47xaks2z090000000000.jpg,"$9,300,000",,$9.3m,"2,867 sqft",,/p/ny/new-york/76-11th-ave-14c-new-york-ny-10011--2360162537
